site,start1,start2,duration,correlation,kind,variable
10ABAM_OR,273,66,2,0.9999401340300332,pearson,exp_dt_over_n_vs_n
11ABAM_OR,187,268,7,1.0000000000000004,pearson,exp_dt_over_n_vs_n
12ABGR_OR,267,220,8,1.0000000000001794,pearson,exp_dt_over_n_vs_n
13ABMAS_OR,274,110,1,0.9982718798937892,pearson,exp_dt_over_n_vs_n
14ABPR_OR,273,261,2,0.9999824555107356,pearson,exp_dt_over_n_vs_n
15ABPR_OR,257,236,18,0.9982409956235816,pearson,exp_dt_over_n_vs_n
16PIMO3_OR,130,250,25,1.0000000000000124,pearson,exp_dt_over_n_vs_n
17TSME_OR,267,241,8,1.0,pearson,exp_dt_over_n_vs_n
18TSME_OR,269,136,6,1.0000000000000004,pearson,exp_dt_over_n_vs_n
19TSME_OR,274,74,1,1.0000000000000002,pearson,exp_dt_over_n_vs_n
1ABAM_OR,260,261,14,1.0000000000000004,pearson,exp_dt_over_n_vs_n
21PIEN_WA,94,83,1,1.0000000000582077,pearson,dt_vs_n
22ABAM_WA,274,174,1,1.0000000000000004,pearson,exp_dt_over_n_vs_n
23ABLA_WA,272,122,3,0.999992629501842,pearson,exp_dt_over_n_vs_n
25TSME_WA,238,204,37,1.0000000000000058,pearson,exp_dt_over_n_vs_n
26TSME_WA,248,232,27,1.0000000000000018,pearson,exp_dt_over_n_vs_n
27PIMO3_WA,258,265,10,0.989309497309462,pearson,exp_dt_vs_n
28ABAM_WA,240,235,35,1.0000000000000002,pearson,exp_dt_over_n_vs_n
2ABCO_OR,264,240,11,1.0000000000000016,pearson,exp_dt_over_n_vs_n
30ABAM_WA,273,211,2,1.0,pearson,exp_dt_over_n_vs_n
31ABAM_WA,247,219,28,1.0000000000002125,pearson,exp_dt_over_n_vs_n
33ABAM_WA,262,127,13,1.0000000000000004,pearson,exp_dt_over_n_vs_n
35ABAM_WA,248,181,27,1.0000000000000056,pearson,exp_dt_over_n_vs_n
36ABAM_WA,266,242,9,1.0000000000000002,pearson,exp_dt_over_n_vs_n
37ABAM_WA,245,203,30,1.0000000000000078,pearson,exp_dt_over_n_vs_n
39ABGR_WA,95,200,64,1.0000000000000042,pearson,dt_vs_n
3ABCO_OR,235,60,2,0.998839333489205,pearson,exp_dt_over_n_vs_n
40ABGR_WA,202,60,1,0.948699073186968,pearson,exp_dt_over_n_vs_n
43ABMAS_WA,211,159,1,1.0000000000000004,pearson,exp_dt_over_n_vs_n
44ABPR_WA,240,74,35,0.9999998960098132,pearson,exp_dt_over_n_vs_n
45ABPR_WA,145,212,63,1.0000000000009497,pearson,exp_dt_over_n_vs_n
46ABPR_WA,261,79,14,0.9988685091296378,pearson,exp_dt_over_n_vs_n
48ABPR_WA,238,81,37,0.999998645036248,pearson,exp_dt_over_n_vs_n
49ABPR_WA,238,187,37,1.0000000000001188,pearson,exp_dt_over_n_vs_n
4ABLA_OR,127,97,148,0.9999979294460718,pearson,exp_dt_over_n_vs_n
50ABPR_WA,153,216,43,1.000000000001462,pearson,exp_dt_over_n_vs_n
54PIMO3_WA,238,145,1,1.0000000015368624,pearson,exp_dt_over_n_vs_n
55PIMO3_WA,220,76,55,0.9999656256745136,pearson,dt_vs_n
57PIMO3_WA,60,102,10,1.0000000000001237,pearson,exp_dt_over_n_vs_n
58TSME_WA,249,97,26,0.9999998229243432,pearson,exp_dt_over_n_vs_n
59TSME_WA,260,244,15,1.000000000000394,pearson,exp_dt_over_n_vs_n
5ABMA_OR,274,148,1,0.9986728018798448,pearson,exp_dt_over_n_vs_n
60TSME_WA,91,107,51,1.0000000000035842,pearson,exp_dt_over_n_vs_n
6ABMA_OR,212,92,8,0.9986355088175992,pearson,exp_dt_over_n_vs_n
7PILA_OR,145,274,1,1.0000000000000002,pearson,exp_dt_over_n_vs_n
8TSME_OR,265,206,10,1.000000000000008,pearson,exp_dt_over_n_vs_n
9TSME_OR,151,160,115,1.0000000000202327,pearson,exp_dt_over_n_vs_n
